Timestamp,Day,Visitors,Milk,Coconuts
1/1/18 6:00,2,13,3.1,11
1/1/18 18:00,2,13,2.9,24
1/2/18 6:00,3,13,3,1
1/2/18 18:00,3,13,3,1
1/3/18 6:00,4,15,3.5,29
1/3/18 18:00,4,13,2.9,46
1/4/18 6:00,5,13,3,19
1/4/18 18:00,5,13,2.9,9
1/5/18 6:00,6,13,3,33
1/5/18 18:00,6,13,3,17
1/6/18 6:00,7,15,3.5,77
1/6/18 18:00,7,12,2.8,6
1/7/18 6:00,1,13,3.1,35
1/7/18 18:00,1,12,2.6,4
1/8/18 6:00,2,13,3,132
1/8/18 18:00,2,13,2.9,9
1/9/18 6:00,3,14,3.1,1
1/9/18 18:00,3,13,2.9,1
1/10/18 6:00,4,13,3,75
1/10/18 18:00,4,12,2.7,141
1/11/18 6:00,5,14,3.2,1
1/11/18 18:00,5,12,2.7,4
1/12/18 6:00,6,13,2.9,1
1/12/18 18:00,6,12,2.7,33
1/13/18 6:00,7,14,3.2,39
1/13/18 18:00,7,11,2.6,17
1/14/18 6:00,1,14,3.2,72
1/14/18 18:00,1,12,2.6,58
1/15/18 6:00,2,13,2.9,0
1/15/18 18:00,2,12,2.8,108
1/16/18 6:00,3,13,2.8,1
1/16/18 18:00,3,13,2.9,1
1/17/18 6:00,4,14,3.1,1
1/17/18 18:00,4,12,2.7,0
1/18/18 6:00,5,12,2.7,1
1/18/18 18:00,5,12,2.8,1
1/19/18 6:00,6,13,3,2
1/19/18 18:00,6,12,2.7,30
1/20/18 6:00,7,13,2.9,9
1/20/18 18:00,7,12,2.7,168
1/21/18 6:00,1,10,2.2,30
1/21/18 18:00,1,12,2.7,172
1/22/18 6:00,2,13,3,5
1/22/18 18:00,2,11,2.5,253
1/23/18 6:00,3,11,2.6,1
1/23/18 18:00,3,12,2.8,1
1/24/18 6:00,4,12,2.8,0
1/24/18 18:00,4,11,2.5,126
1/25/18 6:00,5,12,2.7,254
1/25/18 18:00,5,12,2.7,29
1/26/18 6:00,6,12,2.8,31
1/26/18 18:00,6,12,2.6,1
1/27/18 6:00,7,12,2.8,5
1/27/18 18:00,7,13,2.9,89
1/28/18 6:00,1,11,2.6,2
1/28/18 18:00,1,11,2.5,250
1/29/18 6:00,2,12,2.7,2
1/29/18 18:00,2,12,2.8,177
1/30/18 6:00,3,12,2.6,1
1/30/18 18:00,3,12,2.6,1
1/31/18 6:00,4,12,2.7,1
1/31/18 18:00,4,12,2.7,12
2/1/18 6:00,5,12,2.6,2
2/1/18 18:00,5,11,2.6,39
2/2/18 6:00,6,11,2.6,108
2/2/18 18:00,6,12,2.7,43
2/3/18 6:00,7,12,2.8,14
2/3/18 18:00,7,12,2.6,8
2/4/18 6:00,1,12,2.8,198
2/4/18 18:00,1,11,2.4,17
2/5/18 6:00,2,13,2.9,177
2/5/18 18:00,2,12,2.7,212
2/6/18 6:00,3,13,2.8,1
2/6/18 18:00,3,12,2.7,1
2/7/18 6:00,4,13,3,1
2/7/18 18:00,4,12,2.7,216
2/8/18 6:00,5,13,2.9,315
2/8/18 18:00,5,11,2.6,126
2/9/18 6:00,6,14,3.1,42
2/9/18 18:00,6,13,2.9,42
2/10/18 6:00,7,14,3.1,216
2/10/18 18:00,7,12,2.7,1
2/11/18 6:00,1,14,3.1,2
2/11/18 18:00,1,12,2.8,6
2/12/18 6:00,2,13,3.1,41
2/12/18 18:00,2,12,2.7,8
2/13/18 6:00,3,13,2.9,1
2/13/18 18:00,3,13,2.8,1
2/14/18 6:00,4,15,3.6,82
2/14/18 18:00,4,12,2.8,105
2/15/18 6:00,5,15,3.5,68
2/15/18 18:00,5,13,3,0
2/16/18 6:00,6,15,3.5,93
2/16/18 18:00,6,12,2.8,19
2/17/18 6:00,7,14,3.2,108
2/17/18 18:00,7,14,3.1,1
2/18/18 6:00,1,15,3.5,48
2/18/18 18:00,1,13,3,24
2/19/18 6:00,2,16,3.7,149
2/19/18 18:00,2,14,3.1,31
2/20/18 6:00,3,17,4,1
2/20/18 18:00,3,14,3.1,1
2/21/18 6:00,4,16,3.9,13
2/21/18 18:00,4,13,3,3
2/22/18 6:00,5,16,3.9,32
2/22/18 18:00,5,14,3.1,22
2/23/18 6:00,6,17,4.1,3
2/23/18 18:00,6,14,3.2,6
2/24/18 6:00,7,15,3.6,1
2/24/18 18:00,7,14,3.1,96
2/25/18 6:00,1,16,3.9,2
2/25/18 18:00,1,13,3,5
2/26/18 6:00,2,17,4,15
2/26/18 18:00,2,14,3.3,154
2/27/18 6:00,3,18,4.4,1
2/27/18 18:00,3,14,3.2,1
2/28/18 6:00,4,17,4.2,0
2/28/18 18:00,4,14,3.3,12
